capture_datetime,match_datetime,stage,match_id,home_team,away_team,p_home,p_draw,p_away,ou_line,p_over,p_under,cs_pred_home,cs_pred_away,cs_pred_odds,notes
2026-06-13T12:34:03-04:00,2026-06-14T22:00:00-04:00,group,F2-SWE-TUN,Sweden,Tunisia,0.5319,0.2899,0.2273,2.5,0.4651,0.6061,1,0,5.75,Matchday-4 shadow (1=1.88 X=3.45 2=4.40; O2.5=2.15 U2.5=1.65; cs TIE 1:0 and 1:1 both @5.75 — took 1:0 per favorite-outcome tie-break)
2026-06-15T02:35:22-04:00,2026-06-15T12:00:00-04:00,group,H1-ESP-CPV,Spain,Cape Verde,0.9091,0.1000,0.0286,3.5,0.5263,0.5128,2,0,6.00,Matchday-5 shadow (1=1.10 X=10 2=35; O3.5=1.90 U3.5=1.95; cs 2:0@6.00 lowest)
2026-06-15T02:35:57-04:00,2026-06-15T15:00:00-04:00,group,G1-BEL-EGY,Belgium,Egypt,0.6173,0.2564,0.1667,2.5,0.5128,0.5319,1,0,6.00,Matchday-5 shadow (1=1.62 X=3.90 2=6; O2.5=1.95 U2.5=1.88; cs 1:0@6.00 lowest)
2026-06-15T02:36:52-04:00,2026-06-15T18:00:00-04:00,group,H2-KSA-URU,Saudi Arabia,Uruguay,0.1176,0.2353,0.6897,2.5,0.4878,0.5556,0,1,5.25,Matchday-5 shadow (1=8.50 X=4.25 2=1.45; O2.5=2.05 U2.5=1.80; cs 0:1@5.25 lowest)
2026-06-15T02:37:45-04:00,2026-06-15T21:00:00-04:00,group,G2-IRN-NZL,Iran,New Zealand,0.5263,0.2941,0.2222,2.5,0.4000,0.6452,1,0,5.25,Matchday-5 shadow (1=1.90 X=3.40 2=4.50; O2.5=2.50 U2.5=1.55; cs 1:0@5.25 lowest)
2026-06-15T16:51:07-04:00,2026-06-16T15:00:00-04:00,group,I1-FRA-SEN,France,Senegal,0.6897,0.2273,0.1333,2.5,0.5263,0.5128,1,0,6.00,Matchday-6 shadow (1=1.45 X=4.40 2=7.50; O2.5=1.90 U2.5=1.95; cs 1:0@6.00 lowest)
2026-06-15T16:52:06-04:00,2026-06-16T18:00:00-04:00,group,I2-IRQ-NOR,Iraq,Norway,0.0625,0.1429,0.8333,2.5,0.6452,0.4348,0,2,5.50,Matchday-6 shadow (1=16 X=7 2=1.20; O2.5=1.55 U2.5=2.30; cs 0:2@5.50 lowest; poly used 3.5 line)
2026-06-15T16:53:02-04:00,2026-06-16T21:00:00-04:00,group,J1-ARG-ALG,Argentina,Algeria,0.7299,0.2174,0.1053,2.5,0.5263,0.5556,1,0,5.25,Matchday-6 shadow (1=1.37 X=4.60 2=9.50; O2.5=1.90 U2.5=1.80; cs 1:0@5.25 lowest)
2026-06-15T16:54:08-04:00,2026-06-17T00:00:00-04:00,group,J2-AUT-JOR,Austria,Jordan,0.7407,0.2000,0.1053,2.5,0.6061,0.4651,2,0,6.25,Matchday-6 shadow (1=1.35 X=5 2=9.50; O2.5=1.65 U2.5=2.15; cs 2:0@6.25 lowest)
2026-06-16T23:53:59-04:00,2026-06-17T13:00:00-04:00,group,K1-POR-COD,Portugal,DR Congo,0.7692,0.1818,0.0833,2.5,0.5556,0.4878,2,0,5.25,Matchday-7 shadow (1=1.30 X=5.50 2=12; O2.5=1.80 U2.5=2.05; cs 2:0@5.25 lowest)
2026-06-16T23:54:58-04:00,2026-06-17T16:00:00-04:00,group,L1-ENG-CRO,England,Croatia,0.5714,0.2703,0.1905,2.5,0.4651,0.5814,1,0,5.75,Matchday-7 shadow (1=1.75 X=3.70 2=5.25; O2.5=2.15 U2.5=1.72; cs 1:0@5.75 lowest)
2026-06-16T23:55:57-04:00,2026-06-17T19:00:00-04:00,group,L2-GHA-PAN,Ghana,Panama,0.4545,0.3030,0.2778,2.5,0.4348,0.6061,1,1,5.50,Matchday-7 shadow (1=2.20 X=3.30 2=3.60; O2.5=2.30 U2.5=1.65; cs 1:1@5.50 lowest — DRAW; diverges from model 1-0)
2026-06-16T23:57:14-04:00,2026-06-17T22:00:00-04:00,group,K2-UZB-COL,Uzbekistan,Colombia,0.1111,0.2105,0.7143,2.5,0.5263,0.5128,0,1,5.50,Matchday-7 shadow (1=9 X=4.75 2=1.40; O2.5=1.90 U2.5=1.95; cs 0:1@5.50 lowest)
2026-06-17T23:03:15-04:00,2026-06-18T12:00:00-04:00,group,A3-CZE-RSA,Czechia,South Africa,0.5405,0.2857,0.2174,2.5,0.4651,0.5814,1,1,5.75,Matchday-8 shadow (1=1.85 X=3.50 2=4.60; O2.5=2.15 U2.5=1.72; cs 1:1@5.75 lowest — DRAW)
